CustomerId,primary_persona,existing_secondary_persona,frequent_charger_count,charger_ids,dominant_primary_mode,primary_mode_diversity,dominant_secondary_mode,secondary_mode_diversity,dominant_category,category_diversity,avg_charger_popularity,total_landmarks,total_sessions,avg_session_duration,avg_energy_consumption,weekend_ratio,peak_hour,loyalty_score,zone_diversity,primary_zone
fmMtojVLgT,regular,residential,1,['delac0115'],regular,1,residential,1,residential,1.0,40.0,1.0,5,1.8337777777777777,12.8482,0.8,8.0,1.0,1,East
fmaSTiNOzl,regular,residential,1,['delac0350'],regular,1,residential,1,residential,1.0,43.0,1.0,64,9.364079861111112,25.468171875000003,0.28125,19.0,0.8125,2,West
fmrXClziRj,regular,other,1,['wbac0049'],regular,1,other,1,other,1.0,27.0,1.0,18,1.930462962962963,17.4495,0.2222222222222222,12.0,0.9444444444444442,1,Central
fnBxwhNaCX,regular,residential,1,['delac0436'],noise,1,residential,1,residential,1.0,29.0,1.0,13,2.736559829059829,22.125230769230768,0.5384615384615384,8.0,0.5384615384615384,3,North
foAfsLqhDD,regular,shopping_mall,1,['DelDC0002'],regular,1,shopping_mall,1,shopping_mall,1.0,172.0,1.0,6,0.5126851851851852,20.2385,0.16666666666666666,18.0,0.6666666666666666,1,North
foGsRRUyAJ,regular,tech_park,1,['wbac0005'],regular,1,tech_park,1,tech_park,1.0,144.0,1.0,1,1.2875,8.962,1.0,12.0,1.0,1,Central
foIPCKMYTf,regular,other,1,['wbac0054'],regular,1,other,1,other,1.0,231.0,1.0,12,4.5087268518518515,49.92966666666667,0.0,8.0,1.0,1,East
foijRrHcol,regular,shopping_mall,1,['DelDC0006'],regular,1,shopping_mall,1,shopping_mall,1.0,198.0,1.0,1,0.6488888888888888,32.86,0.0,12.0,1.0,1,North
fpCmmGylSo,regular,other,1,['scdc0018'],noise,1,other,1,other,1.0,255.0,1.0,13,0.7610897435897436,30.08953846153846,0.23076923076923078,16.0,0.6923076923076923,1,Central
fpHeuFWUKJ,regular,residential,2,"['wbac0108', 'scac0130']",regular,1,tech_park,2,tech_park,2.0,65.5,2.0,2,3.5181944444444446,31.052,0.0,13.0,0.5,2,North
fpMcEYayZw,regular,shopping_mall,1,['delac0298'],noise,1,shopping_mall,1,shopping_mall,1.0,21.0,1.0,7,2.321865079365079,16.258142857142854,0.5714285714285714,11.0,0.42857142857142844,2,Central
fqRYhaqfqD,regular,residential,1,['scac0147'],regular,1,residential,1,residential,1.0,119.0,1.0,1,0.8158333333333333,3.55,1.0,12.0,1.0,1,West
fqaWUfxiAo,regular,residential,1,['delac0001'],regular,1,residential,1,residential,1.0,20.0,1.0,1,4.228055555555556,29.063,0.0,16.0,1.0,1,West
fqhSlCtNFF,regular,other,3,"['delac0339', 'scdc0012', 'delac0337']",regular,1,shopping_mall,2,shopping_mall,2.0,353.0,3.0,3,2.881388888888889,34.724333333333334,0.6666666666666666,13.0,0.6666666666666666,2,North
fqudNybcAW,regular,residential,1,['scac0245'],regular,1,residential,1,residential,1.0,68.0,1.0,55,2.4809292929292934,16.516763636363635,0.2727272727272727,15.0,0.872727272727273,2,West
fqvrfMWKDh,regular,shopping_mall,1,['wbac0029'],regular,1,shopping_mall,1,shopping_mall,1.0,101.0,1.0,1,4.565555555555555,32.327,0.0,10.0,1.0,1,Central
frJWvUotOC,regular,residential,1,['scac0070'],regular,1,residential,1,residential,1.0,124.0,1.0,1,0.4530555555555555,3.02,1.0,8.0,1.0,1,West
frijfjCkMn,regular,other,2,"['wbac0035', 'wbac0041']",regular,1,other,1,other,2.0,127.0,2.0,2,0.5530555555555556,6.3870000000000005,0.5,15.0,0.5,2,Central
frwdowGvcg,regular,residential,2,"['scac0202', 'scac0203']",regular,1,residential,1,residential,1.0,13.5,2.0,8,2.0355208333333334,18.430125000000004,0.75,14.0,0.75,1,West
fsczRQvWRR,regular,residential,1,['SCAC0857'],regular,1,residential,1,residential,1.0,31.0,1.0,1,2.7447222222222223,18.53,1.0,13.0,1.0,1,North
fsqKyQHIVi,regular,residential,1,['scac0053'],regular,1,residential,1,residential,1.0,161.0,1.0,5,2.884833333333334,24.7466,0.2,10.0,0.8,2,West
ftEraDHxqq,regular,residential,1,['scac0146'],regular,1,residential,1,residential,1.0,100.0,1.0,1,1.0730555555555557,7.94,0.0,22.0,1.0,1,West
ftYDwGeoRh,regular,residential,1,['wbac0231'],regular,1,residential,1,residential,1.0,17.0,1.0,3,1.4036111111111111,12.092,0.3333333333333333,17.0,1.0,1,West
fteKSrsZuh,regular,other,1,['scdc0006'],regular,1,other,1,other,1.0,661.0,1.0,1,0.9044444444444444,46.93,1.0,18.0,1.0,1,East
ftloCGGSCU,regular,shopping_mall,1,['wbac0001'],regular,1,shopping_mall,1,shopping_mall,1.0,60.0,1.0,1,6.349166666666667,46.706,0.0,7.0,1.0,1,Central
ftvspCkBzH,regular,tech_park,1,['wbac0090'],regular,1,tech_park,1,tech_park,1.0,169.0,1.0,1,1.208888888888889,8.452,1.0,19.0,1.0,1,Central
fuEDThFREy,regular,residential,1,['delac0396'],regular,1,residential,1,residential,1.0,19.0,1.0,5,1.2920555555555555,9.0928,0.8,11.0,0.4,3,Central
fuERbByBDr,regular,other,1,['wbac0116'],regular,1,other,1,other,1.0,137.0,1.0,1,0.5366666666666666,6.13,0.0,19.0,1.0,1,Central
fuULavaivy,regular,other,1,['scdc0006'],regular,1,other,1,other,1.0,661.0,1.0,8,0.5129861111111111,20.72,0.125,19.0,0.875,2,East
fuayvyacmq,regular,residential,1,['wbac0276'],regular,1,residential,1,residential,1.0,17.0,1.0,46,14.126847826086957,31.64991304347826,0.2608695652173913,17.0,0.8913043478260868,2,West
fuhTpbzYVj,regular,residential,1,['scac0116'],regular,1,residential,1,residential,1.0,82.0,1.0,1,0.6702777777777778,4.34,1.0,13.0,1.0,1,West
fujwMVimON,regular,other,1,['wbac0007'],regular,1,other,1,other,1.0,196.0,1.0,2,1.2962500000000001,15.1555,0.0,11.0,1.0,1,East
fuoTtNywwd,regular,residential,1,['wbac0245'],regular,1,residential,1,residential,1.0,42.0,1.0,18,5.965694444444445,13.541666666666666,0.2777777777777778,14.0,0.9444444444444442,2,North
fvQSrZAVkX,regular,other,1,['wbac0101'],regular,1,other,1,other,1.0,118.0,1.0,1,0.6005555555555555,6.576,1.0,10.0,1.0,1,Central
fxvuKaJlGs,regular,other,1,['wbac0046'],regular,1,other,1,other,1.0,32.0,1.0,1,3.790555555555556,32.494,0.0,9.0,1.0,1,Central
fyJyGXftiF,regular,residential,1,['delac0213'],regular,1,residential,1,residential,1.0,32.0,1.0,2,4.444166666666667,33.111,0.5,17.0,1.0,1,Central
fyZtWQndGs,regular,residential,1,['delac0438'],regular,1,residential,1,residential,1.0,30.0,1.0,34,6.633635620915033,32.82364705882353,0.2647058823529412,19.0,0.9705882352941176,1,North
fybiTVcZkM,regular,other,1,['DelDC0007'],regular,1,other,1,other,1.0,210.0,1.0,39,0.7438461538461538,40.85535897435897,0.2564102564102564,20.0,0.5384615384615388,2,North
fydWtTDiLG,regular,other,1,['wbac0013'],regular,1,other,1,other,1.0,191.0,1.0,1,2.7183333333333333,29.955,0.0,17.0,1.0,1,East
fyhKArrYDq,regular,shopping_mall,1,['DelDC0006'],regular,1,shopping_mall,1,shopping_mall,1.0,198.0,1.0,15,0.6476481481481481,18.043999999999997,0.4666666666666667,19.0,0.7333333333333331,2,North
fyvdfCwWfU,regular,other,1,['wbac0034'],regular,1,other,1,other,1.0,243.0,1.0,1,1.221111111111111,14.3,1.0,17.0,1.0,1,Central
fywuBOwBeu,regular,residential,1,['delac0195'],regular,1,residential,1,residential,1.0,37.0,1.0,3,5.462129629629629,22.279666666666667,0.3333333333333333,8.0,1.0,1,Central
fzDxvBQRdd,regular,residential,1,['scac0046'],regular,1,residential,1,residential,1.0,90.0,1.0,1,4.094722222222222,28.23,0.0,18.0,1.0,1,North
gAKYsSbpzz,regular,residential,1,['SCAC0874'],regular,1,residential,1,residential,1.0,83.0,1.0,1,0.5,3.43,1.0,12.0,1.0,1,North
gAfZFBwvLQ,noise,school,2,"['wapd21120001', 'wbac0021']",regular,1,school,1,school,1.0,102.0,2.0,43,3.4549095607235145,29.70472093023256,0.0,8.0,1.0,1,West
gApVJXzeqE,regular,residential,2,"['delac0217', 'delac0216']",regular,1,residential,1,residential,1.0,84.0,2.0,6,2.1300462962962965,10.713333333333333,0.6666666666666666,13.0,0.8333333333333334,2,Central
gAsDmCmuYo,regular,residential,1,['delac0035'],regular,1,residential,1,residential,1.0,93.0,1.0,1,1.393888888888889,9.763,0.0,16.0,1.0,1,Central
gAynYZiwnx,regular,other,1,['scdc0013'],regular,1,other,1,other,1.0,713.0,1.0,1,0.5380555555555555,24.12,1.0,12.0,1.0,1,East
gAzugngEQu,regular,other,1,['SCAC0322'],regular,1,other,1,other,1.0,23.0,1.0,6,0.827962962962963,6.7298333333333344,0.6666666666666666,9.0,0.3333333333333333,3,North
gBElAunmrE,regular,other,2,"['delac0330', 'wbac0065']",regular,1,residential,2,residential,2.0,75.5,2.0,2,0.5881944444444445,5.1015,0.0,11.0,0.5,2,Central
gBKCXreRNb,regular,other,1,['scdc0006'],regular,1,other,1,other,1.0,661.0,1.0,8,3.4928819444444446,41.620125,0.375,10.0,0.25,4,West
gBXNPmSjQb,regular,other,1,['scdc0021'],regular,1,other,1,other,1.0,444.0,1.0,4,0.6330555555555556,15.2825,0.25,11.0,1.0,1,North
gBvivIqftb,regular,other,2,"['wbac0069', 'SCAC0883']",regular,1,other,2,other,2.0,78.0,2.0,2,0.6351388888888889,6.410500000000001,0.0,12.0,0.5,2,Central
gCZNmtejSC,regular,other,1,['scdc0032'],noise,1,other,1,other,1.0,197.0,1.0,3,0.4450925925925926,33.46666666666666,0.0,14.0,0.6666666666666666,2,Central
gChuvnAcXI,regular,shopping_mall,1,['DelDC0006'],regular,1,shopping_mall,1,shopping_mall,1.0,198.0,1.0,9,0.5316049382716049,27.907555555555557,0.4444444444444444,12.0,0.8888888888888888,2,North
gDMYhSygXt,regular,shopping_mall,1,['DelDC0006'],regular,1,shopping_mall,1,shopping_mall,1.0,198.0,1.0,3,0.8236111111111111,30.98133333333333,0.3333333333333333,3.0,0.6666666666666666,2,North
gDTNGouSQb,regular,tech_park,1,['scdc0014'],regular,1,tech_park,1,tech_park,1.0,238.0,1.0,1,0.6975,35.72,1.0,9.0,1.0,1,Central
gDWXfPSTOY,regular,tech_park,1,['wbac0092'],regular,1,tech_park,1,tech_park,1.0,105.0,1.0,1,2.119166666666666,24.044,0.0,23.0,1.0,1,Central
gDYkOgShIw,regular,residential,1,['delac0320'],regular,1,residential,1,residential,1.0,27.0,1.0,21,5.4528835978835986,38.34685714285715,0.38095238095238093,12.0,0.8571428571428571,1,North
gDcSnCIaNe,regular,other,1,['wbac0014'],regular,1,other,1,other,1.0,263.0,1.0,1,1.060277777777778,7.376,0.0,12.0,1.0,1,East
