temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
26.0,23.1,84.0,0.0,,340.0,5.4,,1009.0,,3.0
25.5,23.1,86.5,0.0,,324.0,4.5,,1009.5,,3.0
25.0,23.1,89.0,0.0,,308.0,3.6,,1010.0,,3.0
25.0,23.1,89.0,0.0,,311.0,3.6,,1010.0,,3.0
25.0,23.1,89.0,0.0,,314.0,3.6,,1010.0,,3.0
25.5,23.55,89.0,0.05,,322.0,4.5,,1010.5,,5.0
26.0,24.0,89.0,0.1,,330.0,5.4,,1011.0,,7.0
27.0,24.0,84.0,0.45000000000000007,,340.0,6.5,,1011.5,,7.5
28.0,24.0,79.0,0.8,,350.0,7.6,,1012.0,,8.0
28.0,23.45,76.5,1.15,,355.0,10.3,,1012.0,,8.5
28.0,22.9,74.0,1.5,,360.0,13.0,,1012.0,,9.0
28.5,23.4,74.0,0.75,,355.0,12.1,,1012.0,,6.0
29.0,23.9,74.0,0.0,,350.0,11.2,,1012.0,,3.0
29.5,23.4,70.0,0.1,,345.0,10.3,,1012.0,,5.0
30.0,22.9,66.0,0.2,,340.0,9.4,,1012.0,,7.0
30.5,22.85,64.0,0.15000000000000002,,350.0,12.100000000000001,,1011.5,,7.0
31.0,22.8,62.0,0.1,,360.0,14.8,,1011.0,,7.0
31.5,22.9,60.5,0.15000000000000002,,350.0,14.8,,1010.5,,7.0
32.0,23.0,59.0,0.2,,340.0,14.8,,1010.0,,7.0
31.5,23.45,62.5,1.7499999999999998,,310.0,12.100000000000001,,1009.0,,8.0
31.0,23.9,66.0,3.3,,280.0,9.4,,1008.0,,9.0
30.5,24.5,70.5,5.35,,140.5,7.4,,1008.0,,9.0
30.0,25.1,75.0,7.4,,1.0,5.4,,1008.0,,9.0
30.0,24.5,72.5,3.7000000000000006,,165.5,5.4,,1007.5,,6.0
30.0,23.9,70.0,0.0,,330.0,5.4,,1007.0,,3.0
30.0,22.9,66.0,1.3,,170.0,11.899999999999999,,1007.5,,10.5
30.0,21.9,62.0,2.6,,10.0,18.4,,1008.0,,18.0
29.5,21.45,62.0,1.3,,10.0,17.5,,1008.5,,10.5
29.0,21.0,62.0,0.0,,10.0,16.6,,1009.0,,3.0
28.5,21.0,64.0,0.0,,10.0,13.0,,1009.5,,3.0
28.0,21.0,66.0,0.0,,10.0,9.4,,1010.0,,3.0
28.0,21.5,68.0,0.0,,20.0,13.0,,1010.5,,3.0
28.0,22.0,70.0,0.0,,30.0,16.6,,1011.0,,3.0
27.5,22.0,72.0,0.0,,30.0,17.5,,1011.0,,3.0
27.0,22.0,74.0,0.0,,30.0,18.4,,1011.0,,3.0
27.0,22.5,76.5,0.0,,25.0,17.5,,1011.0,,3.0
27.0,23.0,79.0,0.0,,20.0,16.6,,1011.0,,3.0
27.0,23.55,81.5,0.0,,25.0,18.55,,1011.0,,3.0
27.0,24.1,84.0,0.0,,30.0,20.5,,1011.0,,3.0
27.0,24.1,84.0,0.0,,20.0,15.85,,1011.0,,3.0
27.0,24.1,84.0,0.0,,10.0,11.2,,1011.0,,3.0
26.5,24.05,86.5,0.0,,185.0,10.3,,1010.5,,3.0
26.0,24.0,89.0,0.0,,360.0,9.4,,1010.0,,3.0
26.0,24.0,89.0,0.0,,355.0,7.4,,1009.5,,3.0
26.0,24.0,89.0,0.0,,350.0,5.4,,1009.0,,3.0
26.0,24.0,89.0,0.0,,351.0,4.5,,1009.0,,3.0
26.0,24.0,89.0,0.0,,352.0,3.6,,1009.0,,3.0
26.0,24.0,89.0,0.0,,351.0,4.8,,1009.0,,3.0
26.0,24.0,89.0,0.0,,350.0,6.0,,1009.0,,3.0
26.0,23.55,86.5,0.0,,345.0,6.8,,1009.5,,3.0
26.0,23.1,84.0,0.0,,340.0,7.6,,1010.0,,3.0
26.0,23.55,86.5,0.0,,336.0,5.6,,1010.0,,3.0
26.0,24.0,89.0,0.0,,332.0,3.6,,1010.0,,3.0
